id	name	description	synonyms
HP:0002758	Osteoarthritis	Degeneration (wear and tear) of articular cartilage, i.e., of the joint surface. Joint degeneration may be accompanied by osteophytes (bone overgrowth), narrowing of the joint space, regions of sclerosis at the joint surface, or joint deformity.	["HP:0001379","HP:0002824","HP:0005762","Degenerative joint disease"]
HP:0002829	Arthralgia	Joint pain.	["Arthralgias","Joint pain"]
HP:0003074	Hyperglycemia	An increased concentration of glucose in the blood.	["High blood glucose","High blood sugar"]
HP:0003077	Hyperlipidemia	An elevated lipid concentration in the blood.	["HP:0008159","HP:0008356","Elevated lipids in blood"]
HP:0003198	Myopathy	A disorder of muscle unrelated to impairment of innervation or neuromuscular junction.	["HP:0003569","HP:0003705","HP:0003742","HP:0003802","Muscle tissue disease","Myopathic changes"]
HP:0003560	Muscular dystrophy	The term dystrophy means abnormal growth. However, muscular dystrophy is used to describe primary myopathies with a genetic basis and a progressive course characterized by progressive skeletal muscle weakness and wasting, defects in muscle proteins, and histological features of muscle fiber degeneration (necrosis) and regeneration. If possible, it is preferred to use other HPO terms to describe the precise phenotypic abnormalities.	["HP:0003544","HP:0003741","HP:0003793","HP:0003806","HP:0007081"]
HP:0003765	Psoriasiform dermatitis	A skin abnormality characterized by redness and irritation, with thick, red skin that displays flaky, silver-white patches (scales).	["Psoriasis"]
HP:0004326	Cachexia	Severe weight loss, wasting of muscle, loss of appetite, and general debility related to a chronic disease.	["Wasting syndrome"]
HP:0004387	Enterocolitis	An inflammation of the colon and small intestine. However, most conditions are either categorized as Enteritis (inflammation of the small intestine) or Colitis (inflammation of the large intestine).	[]
HP:0004395	Malnutrition	A deficiency in the intake of energy and nutrients.	["Malnutrition"]
HP:0004950	Peripheral arterial stenosis	Narrowing of peripheral arteries with reduction of blood flow to the limbs. This feature may be quantified as an ankle-brachial index of less than 0.9, and may be manifested clinically as claudication.	["HP:0004928","HP:0004973","HP:0005296","HP:0005299","HP:0005309","HP:0005315","HP:0005794","Peripheral artery disease"]
HP:0005110	Atrial fibrillation	An atrial arrhythmia characterized by disorganized atrial activity without discrete P waves on the surface EKG, but instead by an undulating baseline or more sharply circumscribed atrial deflections of varying amplitude an frequency ranging from 350 to 600 per minute.	["HP:0001715","HP:0005179","Quivering upper heart chambers resulting in irregular heartbeat"]
HP:0005112	Abdominal aortic aneurysm	An abnormal localized widening (dilatation) of the abdominal aorta.	["HP:0004953","Dilatation of the abdominal aorta"]
HP:0006775	Multiple myeloma	A malignant plasma cell tumor growing within soft tissue or within the skeleton.	[]
HP:0006979	Sleep-wake cycle disturbance	Any abnormality of an individual's circadian rhythm that affects the timing of sleeping and being awake is referred to as a sleep-wake disorder.	["Internal-clock disorders","Sleep phase disturbance","Sleep-wake cycle disorders","Sleep-wake cycle disturbance"]
HP:0007302	Bipolar affective disorder	Bipolar disorder is an illness of mood characterized by alternating episodes of elevated and depressed moods, which are interspersed with euthymic periods.	["HP:0000755","Bipolar depression","Bipolar disorder","Manic depressive"]
HP:0010535	Sleep apnea	An intermittent cessation of airflow at the mouth and nose during sleep is known as sleep apnea. Apneas that last at least 10 seconds are considered significant, but individuals with sleep apnea may experience apneas lasting from 20 seconds up to 2 or 3 minutes. Patients may have up to 15 events per hour of sleep.	["Pauses in breathing while sleeping","Sleep apnea","Sleep apnoea"]
HP:0011419	Placental abruption	Separation of the placenta from the uterus wall before delivery.	["Abruptio placentae"]
HP:0011782	Thyroid crisis		[]
HP:0012393	Allergy	An allergy is an immune response or reaction to substances that are usually not harmful.	["Allergy"]
HP:0012418	Hypoxemia	An abnormally low level of blood oxygen.	["Low blood oxygen level"]
HP:0012432	Chronic fatigue	Subjective feeling of tiredness characterized by a lack of energy and motivation that persists for six months or longer.	["Chronic extreme exhaustion","Chronic fatigue"]
HP:0012622	Chronic kidney disease	Functional anomaly of the kidney persisting for at least three months.	["HP:0000106","HP:0001918","HP:0008671","Chronic kidney disease","CKD"]
HP:0025464	Increased reactive oxygen species production	An accumulation of free radical groups in the body inadequately neutralized by antioxidants, which creates a potentially unstable and damaging cellular environment linked to tissue damage.	["Increased ROS production"]
HP:0030127	Endometriosis	The growth of endometrial tissue outside the uterus.	["HP:0030013"]
HP:0030951	Skeletal muscle fibrosis	Excessive formation of fibrous bands of scar tissue in between muscle fibers.	["Muscle biopsy: fibrosis"]
HP:0032249	Coccidioidomycosis	Infection by a Coccidioides species fungus. These are dimorphic, soil-dwelling, fungi known to cause a broad spectrum of disease, ranging from a mild febrile illness to severe pulmonary manifestations or disseminated disease. The genus Coccidioides is comprised of two genetically distinct species: Coccidioides immitis and C. posadasii.	["Valley fever"]
HP:0033511	Addictive substance use	Chronic compulsive drug seeking and continued use despite harmful consequences.	["Addictive drug use","Drug addiction"]
HP:0033631	Spondylitis	Inflammation of the vertebrae (vertebral bodies) or spine.	[]
HP:0033677	Acute respiratory distress syndrome	Acute respiratory distress syndrome (ARDS) is defined as an acute disorder that starts within seven days of the inciting event and is characterized by bilateral lung infiltrates and severe progressive hypoxemia in the absence of any evidence of cardiogenic pulmonary edema. ARDS is defined by the patient's oxygen in arterial blood (PaO2) to the fraction of the oxygen in the inspired air (FiO2). These patients have a PaO2/FiO2 ratio of less than 300.	["ARDS"]
HP:0033726	Lupus nephritis	Lupus nephritis is a type of glomerulonephritis that constitutes one of the most severe organ manifestations of systemic lupus erythematosus. Lupus nephritis is subclassified in six distinct classes, that represent different manifestations and severities of renal involvement and guide the therapeutic management.	[]
HP:0100279	Ulcerative colitis	A chronic inflammatory bowel disease that includes characteristic ulcers, or open sores, in the colon. The main symptom of active disease is usually constant diarrhea mixed with blood, of gradual onset and intermittent periods of exacerbated symptoms contrasting with periods that are relatively symptom-free. In contrast to Crohn's disease this special form of colitis begins in the distal parts of the rectum, spreads continually upwards and affects only mucose and submucose tissue of the colon.	["Colitis ulcerosa"]
HP:0100324	Scleroderma	A chronic autoimmune phenomenon characterized by fibrosis (or hardening) and vascular alterations of the skin.	["HP:0001594","HP:0007426","Progressive systemic scleroderma","Pseudoscleroderma"]
HP:0100327	Cow milk allergy	Hypersensitivity in form of an adverse immune reaction against cow milk protein.	["Cow milk allergy","IgE-mediated cow milk allergy","Immunoglobulin E-mediated cow milk allergy","Milk allergy"]
HP:0100543	Cognitive impairment	Abnormal cognition is characterized by deficits in thinking, reasoning, or remembering.	["HP:0002128","HP:0002129","HP:0002302","HP:0002337","HP:0002441","HP:0006972","HP:0006998","HP:0007211","Abnormality of cognition","Cognitive abnormality","Cognitive defects","Cognitive deficits","Cognitive impairment","Intellectual impairment"]
HP:0100602	Preeclampsia	Pregnancy-induced hypertension in association with significant amounts of protein in the urine.	["Pre-eclampsia"]
HP:0100753	Schizophrenia	A mental disorder characterized by a disintegration of thought processes and emotional responsiveness. It most commonly manifests as auditory hallucinations, paranoid or bizarre delusions, or disorganized speech and thinking. It is accompanied by significant social or occupational dysfunction. The onset of symptoms typically occurs in young adulthood, with a global lifetime prevalence of about 1%. This term is not a helpful parent term to describe abnormal experiences.	[]
HP:0100806	Sepsis	Systemic inflammatory response to infection.	["Infection in blood stream"]
HP:0100812	Halitosis	Noticeably unpleasant odors exhaled in breathing.	["Bad breath","Foetor ex ore"]
HP:0410151	Eosinophilic infiltration of the esophagus	Infiltration of numerous eosinophils (usually greater than 15 per high power field) into the squamous epithelium of the esophagus, and layering of eosinophils on the surface layer of the esophagus.	["Eosinophilic esophagitis","Eosinophilic infiltration of the esophagus"]
HP:0500049	Retinopathy of prematurity	An avascular or abnormally vascularized retina that occurs in premature infants and can lead to blindness.	[]
