id_namespace	local_id	persistent_id	creation_time	abbreviation	name	description
https://www.metabolomicsworkbench.org/	PR000050	http://dx.doi.org/10.21228/M8RG6T			Small cell lung cancer metabolome	The goal of this pilot project is to comprehensively evaluate metabolic underpinnings of small cell lung cancer (SCLC) and couple with proteome level measurements of global kinase and other enzyme level expression data to provide insight into the upstream signaling networks that may be driving the pathogenesis of SCLC. Alterations in cancer metabolism are increasingly realized as an emerging area of research and potentially offers new therapeutic strategies. As part of ongoing studies, we are employing a chemical biology platform, activity-based protein profiling (ABPP), to study the SCLC proteome. ABPP uses chemical probes that are directed against the active sites of enzymes to interrogate the functional state of enzymes in biological samples. We used ATP based probes to study differences in kinase and other ATP binding proteins between SCLC and non-small cell lung cancer (NSCLC). We used well curated lung cancer cell lines that facilitate functional analysis of key proteins and pathways. Interestingly, our preliminary data strongly implicates hyperactivated metabolic pathways in SCLC when compared to NSCLC cell lines. A strong signal of upregulated metabolic kinases and other proteins involved in glycolysis, pyruvate metabolism, and purine metabolism have been identified through this approach. However, whether the alterations in the protein levels identified through this proteomic based approach corresponds to altered levels of metabolites through metabolic pathways remains unclear. This new opportunity will allow us to profile SCLC for alterations in metabolism that can be compared to NSCLC. We will conduct metabolomics studies on our SCLC cell lines. Relationships between the underlying alterations in metabolic kinases and other signaling molecules and mechanisms promoting the aggressive phenotype of these SCLC tumors remain unclear. We will collaborate with the NIH Eastern Regional Comprehensive Metabolomics Resource Core at RTI International (RTI RCMRC) to enable metabolomic profiling and analysis of our existing cell lines and tumor tissues.
https://www.metabolomicsworkbench.org/	PR000051	http://dx.doi.org/10.21228/M8MS3J			Metabolic Microenvironments in Normal Breast and Breast Cancer	Breast cancers evolve and acquire adaptive changes while in active communication with the surrounding host normal tissue. It is important to understand the genomic and metabolomic changes in breast microenvironment at various stages of cancer development and progression (i.e., normal breast, DCIS, benign disease and invasive cancer). Since intrinsic breast cancer subtypes are very distinct from each other in terms of clinical features as well as the genomic profiling, these subtypes may also have distinct metabolic microenvironment signatures.
https://www.metabolomicsworkbench.org/	PR000052	http://dx.doi.org/10.21228/M8H01X			Metabonomic profiling of kinase inhibitor response in leukemia	The goal of this pilot project is to develop the metabonomic parameters necessary to comprehensively profile and analyze large numbers of metabolites and their drug-induced responses in cell and animal models of leukemia. Our long-term objective of these studies is to investigate the effects of select kinase inhibitors in acute myeloid leukemia (AML) in an effort to better understand biochemical mechanisms of disease progression and drug resistance. Our focus will be on FLT3-ITD kinase positive models because this is one of the most aggressive and drug-resistant types of AML. Additionally, because of the central role of the MEK/Erk kinase pathway in regulating cell proliferation and survival in these cells, inhibitors of MEK and other kinases will be tested for their effects on human and mouse metabolic profiles. We have developed a unique model of drug-resistant AML and the metabolic response of these cells to kinase inhibitors will also be evaluated. Cells will be treated with kinase inhibitors for varied times, the cells isolated and the cellular metabolites identified and quantified by mass spectrometry and NMR-based analytical methods. Bioinformatics and statistics will be performed and a comprehensive metabonomic analysis of metabolite profiles will be accomplished. Metabonomic responses will be related to specific changes in cell signaling networks. A second major objective will be to perform metabonomic analyses in response to targeted kinase inhibitors in a mouse model of FLT3-ITD AML. We will measure metabonomic profiles in mouse biofluids before and after exposure to MEK inhibitors. The specific effects of MEK or other kinase inhibitors on individual metabolites will be quantified and analyzed by bioinformatics. We anticipate that these studies will lead to the identification of unique sites of intersection between cell signaling and cell metabolism and provide the foundation for future NIH-funded research projects.
https://www.metabolomicsworkbench.org/	PR000053	http://dx.doi.org/10.21228/M8C883			Environmental impact on metabolomics and food allergy	NIH R03 grant to develop a mouse model that evaluates the cumulative effect of reduced LPS exposure and vaccination with alum-adjuvanted vaccines on the development and severity of peanut allergy.
https://www.metabolomicsworkbench.org/	PR000054	http://dx.doi.org/10.21228/M87G65			Combined Metabolomics and Lipidomics of Type 1 Diabetes	This West Coast Metabolomics Center pilot and feasibility project granted to Graeme Bell  (University of Chicago) and collaborator Manami Hara uses a multi-omics approach to investigate the metabolome (primary metabolites), lipidome (complex lipids) and signaling lipids (oxylipins) in the plasma of Non-obese Diabetic (NOD) mice which progressed to Type 1 Diabetes Mellitus (T1D) and those that did not. NOD Mice (n=71) were assessed as diabetic or non-diabetic based on their fasting (4hr) blood glucose levels at sacrifice, which defined 30 hyperglycemic (glucose = 250 mg/dL) and 41 normoglycemic animals. The primary objective of this study was to identify candidate biomarkers associated with beta-cell destruction/survival and T1D progression.
https://www.metabolomicsworkbench.org/	PR000055	http://dx.doi.org/10.21228/M83S3W			Metabolite changes associated with methionine stress sensitivity of cancer	This West Coast Metabolomics Center pilot and feasibility project granted to Peter Kaiser (UC Irvine), aims to achieve understanding of a unique metabolic dependence of cancer cells to explore development of novel unconventional therapeutic strategies that exploit dependence of cancer cells on methyl-donor abundance. The past few years have highlighted the role of altered metabolism in cancer. While mechanistic insight into changed metabolism in cancer is very limited, the importance of the metabolic pathway surrounding homocysteine and methionine for cancer cell proliferation has been known for over 30 years. These findings, generally summarized as methionine-dependence or methionine stress sensitivity, describe the phenomenon that most cancer cells cannot proliferate in growth medium where the amino acid methionine is replaced with its direct metabolic precursor homocysteine. Importantly, non-tumorigenic cells are unaffected by replacing methionine with homocysteine in the growth medium. For the past years we have been studying methionine dependence of breast and prostate cancer and demonstrated that methionine-dependence is caused by insufficient flux through this pathway to sustain synthesis of the downstream metabolite and the principal methyl-donor S-adenosylmethionine (SAM). We have isolated rare cell clones from MDA-MB468 breast cancer cells (referred to as MB468RES) that are no longer methionine dependent and proliferate in homocysteine medium. Interestingly, MB468RES have lost their ability for anchorage independent growth, a hallmark of cancer. The MB468 and MB468RES cell line pair confirms other observations showing that methionine dependence is tightly linked to tumorigenicity. Importantly, this cell line pair is an ideal model to identify metabolite signatures linked to cancer cell methionine dependence. We propose to characterize the metabolic changes triggered by the shift from normal growth medium to homocysteine medium in MB468 breast cancer cells and the methionine stress insensitive MB468RES derivatives. In addition we have developed cancer cell lines with inducible shRNAs targeting methionine adenosyltransferase (MAT), the enzyme catalyzing synthesis of SAM from methionine and ATP. Inducible knockdown of MAT allows us to specifically reduce SAM synthesis. Our previous results suggest that SAM limitation is the critical trigger for cancer cell methionine dependence. Thus metabolite profiling using the MAT knockdown system will provide an independent dataset that together with metabolite profiles from the MB468 and MB468RES cell line pair will define critical metabolic profiles related to cancer cell methionine dependence. In the current investigation, untargeted analysis of primary metabolites and complex lipids, coupled with quantitative analysis of methionine pathway intermediates (folate and respective derivatives, s-adenosylmethoinine, s-adenosylhomocysteine, choline, betaine) and metabolic flux will be conducted on MB468, MB468RES and MB468shRNA following the switch from methionine containing media to homocysteine containing media over the course of 0, 2, 4, 8, 12, 24 and 48 hours. The primary objectives were to 1) characterize the metabolic response to methionine stress and SAM limitation and 2) correlate the metabolic signatures with cancer cell proliferation arrest and death.
https://www.metabolomicsworkbench.org/	PR000058	http://dx.doi.org/10.21228/M80018			Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: Unraveling the Link Between Adipose Tissue and Cancer	This West Coast Metabolomics Center pilot and feasibility project was granted to Johanna Lampe (Fred Hutchinson Cancer Research Center at Univ. of Washington, Seattle). In the current investigation, unbiased profiling of the metabolome and lipidome of adipose tissue samples (visceral(VAT) and subcutaenous (SAT)) and serum of 50 CRC patients, including stages I-IV, from the Fred Hutchinson Cancer Center (Seattle,WA) and the German Cancer Research Center (Heidelberg, Germany) was conducted. The lipidome and metabolome of adipose tissue (VAT/SAT) and serum were analyzed using established UPLC-QTOFMS analysis and GC-TOFMS analyses, respectively. The primary objectives of this project were to 1) compare the metabolome and lipidome of matched VAT and SAT adipose tissue of n=50 Colorectal Cancer Cell (CRC) patients, 2) characterize the associations between the lipidome and metabolome in adipose tissue (VAT/SAT) and serum of n=50 CRC patients and 3) test the associations between the lipidome/metabolome of VAT and serum with the tumor stage of CRC patients.
https://www.metabolomicsworkbench.org/	PR000059	http://dx.doi.org/10.21228/M8V88F			Biomarkers for Depression in CSF and Plasma in a Population Sample	This West Coast Metabolomics Center pilot and feasibility project was granted to Roel Ophoff (UC Los Angeles) and Steve Horwath (UC Los Angeles). Major depressive disorder (MDD) is one of the most debilitating disorders in the United States with a 12-month prevalence of 6.7% in the adult population. The disorder affects millions of Americans daily and is a major health concern with enormous economic cost the society at large. Criteria for MDD diagnosis and treatment are based on various signs and symptoms not always fitting into strict diagnostic categories such as DSM-IV. Despite various known risk factors (such as family history, age, and gender), biological markers supporting diagnosis or prediction of MDD are unavailable. We have collected cerebrospinal fluid (CSF) and peripheral blood of more than 600 subjects from the general population. For each of the participants we also obtained biometric information as well as behavioral trait measures. One of the measures is the Beck Depression Inventory (BDI), a well-established questionnaire for measuring severity of depression. Based on the BDI, roughly 5% of participants suffer from severe depressive symptoms while most of these subjects are not under treatment or receiving any medication for depression In the current investigation, untargeted analysis of primary metabolites was conducted on age and gender matched human cerebrospinal fluid (CSF) and plasma from subjects suffering with MDD ( n=50) and control subjects (n=50). Subjects were diagnosed as having MDD based on the Beck Depression Inventory. The primary objectives of this study were to 1) identify metabolites which discriminate between subjects with and without depression symptoms in the CSF and plasma and 2) how changes correlate between CSF and plasma.
https://www.metabolomicsworkbench.org/	PR000066	http://dx.doi.org/10.21228/M8QG6H			Metabolomic profiling of influenza: a 2009 pandemic H1N1 influenza in lean and obese mice	During the 2009 H1N1 influenza pandemic outbreak, obese individuals were reported to be at greater risk for morbidity and mortality from pandemic infection. However, the mechanisms contributing to greater influenza severity in infected obese individuals remain unclear. Given that one in ten individuals is obese, and worldwide influenza outbreaks are a consistent public health burden, garnering a better understanding of the pathways and mechanisms contributing to greater influenza severity in the obese is essential for limiting influenza infection mortality in this at-risk population. Closely paralleling pH1N1 infection outcome in humans, obese mice exhibit increased morbidity and mortality following pH1N1 infection. In mice, obesity impairs the function of natural killer cells, dendritic cells, macrophage, B cells and memory T cells. Further, several analyses of lung antiviral responses revealed that obese mice have greater lung damage, lung immune cell infiltration and impaired lung healing after infection. Nevertheless, it remains unclear how altered immune cell function contributes to greater lung damage and increased infection severity in obese mice. Metabolomics will be used to dissect the metabolic consequences of obesity on the immune response to pH1N1 infection. We will compare metabolic profiles of lung-specific and peripheral samples from uninfected and infected lean and obese mice during early and late phases of influenza immunity.
https://www.metabolomicsworkbench.org/	PR000069	http://dx.doi.org/10.21228/M8KS37			Effect of diet and age on ovarian metabolome	The long-term goal of this research is to understand the effects of the Western diet on female reproductive function and aging, to characterize the resultant health consequences and to determine the value of dietary intervention. In the past 100 years, dietary patterns in Western societies have changed remarkably. The consumption of saturated fatty acids (SFA), omega-6 (n-6) unsaturated fatty acids and refined carbohydrates has risen sharply, whereas consumption of fruits, vegetables and omega-3 fatty acids (n-3) has declined. This dietary pattern is associated with post-prandial oxidative stress and inflammation, both of which are implicated in numerous disease processes. The key rationale for this pilot grant application stems from studies reporting a decline in reproductive function in women that is coincident with changing patterns of Western diet, observations of Western diet-associated infertility in rodents, and adverse effects of diet on ovarian reserve in monkeys. Recently, ovarian-metabolomic profiling has been used to characterize oxidative and inflammatory pathways in the non-diseased ovary. Using this technology, it has also been reported that aging women, and those with reduced ovarian reserve, have altered follicular fluid levels of carbohydrates and reproductive hormones compared to normal ovarian reserve women. Therefore, this methodology is ideal for determining differences in global metabolomic profiles among ovaries derived from subjects of differing nutritional backgrounds. The proposed study will compare the effects of chronic exposure to a typical Western diet with a prudent diet on ovarian metabolome and metabolites associated with oxidative stress pathways. The central hypothesis is that ovaries from monkeys exposed to markedly divergent nutritional backgrounds will differentiate from each other with respect to their metabolome and with respect to metabolites indicative of oxidative stress. We will address this with three Specific Aims designed to: 1) determine whether the metabolome of ovarian tissue from cynomolgus monkeys (Macaca fascicularis) differentiates by nutritional background; 2) determine if metabolomic profiles of ovarian tissue will differentiate by age in pedigreed, known-age domestic vervet monkeys (Chlorocebus aethiops sabaeus) and 3) investigate whether the effects of diet or age on ovarian tissue metabolome is reflected by changes in serum metabolites. Archived ovarian tissue from two well-established nonhuman primate models of women?s health (Macaca fascicularis and Chlorocebus aethiops sabaeus) will be used for this study.
https://www.metabolomicsworkbench.org/	PR000071	http://dx.doi.org/10.21228/M8G01M			Genetic effects of high fat diet on mouse fecal metabolomics	We will study expression of a large series of metabolites in fecal samples from a genetically diverse set of mouse strains (BXD type). Separate cohorts of animals are maintained either on a 6% low fat diet or on a 60% high fat diet and at several points during normal life span. We predict that these dietary differences will have profound effects on the gastrointestinal (GI) tract and fecal metabolites, and that the differences will be influenced strongly by genetic factors. We also expect that fecal metabolite data will be a useful predictor of major outcome measures, such as fat mass, longevity, and mitochondrial state. All metabolite data will be entered into the GeneNetwork web service for genetic analysis of the effects of metabolites and diet on GI tract metabolism.
https://www.metabolomicsworkbench.org/	PR000073	http://dx.doi.org/10.21228/M8B88S			CESB Lung Cancer Project	Influence of Microenvironmental Nutrient Availability on Systems Biochemistry of Lung Cancer Cells and Immuomodulation. This cell-based project aims to gain a systematic understanding of lung cancer metabolism and dysregulations as a function of key microenvironmental factors that govern lung cancer cell development and its ability to evade immune surveillance. The factors to be examined include the availability of key nutrients crucial to cancer proliferation, survival, metastasis, and immunoregulation.
https://www.metabolomicsworkbench.org/	PR000075	http://dx.doi.org/10.21228/M86K5H			Systems Biology for EnteroPathogens	sysbep.org
https://www.metabolomicsworkbench.org/	PR000079	http://dx.doi.org/10.21228/M82S3K			A study of changes in lipid metabolism of ovarian cancer cells co-cultured with adipocytes	A study of changes in lipid metabolism of ovarian cancer cells co-cultured with adipocytestimecourse studyThis West Coast Metabolomics Center pilot and feasibility project was granted to Ernst Lengyel  (University of Chicago). The biology of ovarian cancer (OvCa) is clearly distinct from that of most epithelial tumors, in that hematogenous metastases are rare, and ovarian tumors remain confined to the peritoneal cavity. The omentum, a large pad of fat tissue (20x13x3cm) covering the bowel, is the most common site of OvCa metastasis. It consists primarily of adipocytes, which become the principal microenvironment for the OvCa cells. The underlying hypothesis for this application is that, in the presence of adipocytes, the metabolism of OvCa cells is reprogramed and shifts towards lipid utilization, which provides energy that facilitates tumor growth and metastasis. Preliminary results suggest that primary human omental adipocytes secrete cytokines which promote the metastasis of OvCa cells to the omentum and their subsequent invasion. Once metastasis has occurred, OvCa cells induce lipolysis in omental adipocytes, and use the energy derived from these lipids to proliferate. To study the metabolic changes in the tumor microenvironment we have established a 3D organotypic culture of the human omentum using primary human cells established from patient tissue. Metabolic studies will be performed on adipocytes and OvCa cells individually, on conditioned media and on adipocytes and OvCa cells co-cultured in our 3D model, with the goal of arriving at a comprehensive analysis of primary metabolites and lipids in the tumor microenvironment. In the current investigation, untargeted analysis of primary metabolites and complex lipids were conducted on adipocytes and OvCa cells individually, on conditioned media and on adipocytes and OvCa cells co-cultured in our 3D model. Analysis of oxylipins was conducted on conditioned media. To gain better understanding of the dynamic regulation of metabolic pathways we will also perform metabolic flux analysis using labeled cells (13C-glucose, 13C-glutamine) in the 3D culture model. The primary objective of this study is to gain insight into the dynamic interactions between OvCa cells and human adipocytes with the anticipation of elucidating targets of therapeutic intervention.
https://www.metabolomicsworkbench.org/	PR000082	http://dx.doi.org/10.21228/M8Z30M			Caloric restriction Studies	Caloric restriction vs medications that prolong life
