id	name	description	synonyms
UBERON:0000044	dorsal root ganglion	Sensory ganglia located on the dorsal spinal roots within the vertebral column. The spinal ganglion cells are pseudounipolar. The single primary branch bifurcates sending a peripheral process to carry sensory information from the periphery and a central branch which relays that information to the spinal cord or brain. (MSH) * ganglion found on the posterior root of each spinal nerve, composed of the unipolar nerve cell bodies of the sensory neurons of the nerve. (CSP).	["UBERON:0026602","dorsal root ganglion","ganglion of dorsal root","ganglion spinalis","spinal ganglion","spinal ganglion part of peripheral nervous system"]
UBERON:0000115	lung epithelium	The epithelial layer of the lung.	["epithelial tissue of lung","epithelium of lung","lung epithelial tissue"]
UBERON:0000160	intestine	Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine.	["bowel"]
UBERON:0000178	blood	A fluid that is composed of blood plasma and erythrocytes.	["portion of blood","vertebrate blood"]
UBERON:0000310	breast	The upper ventral region of the torso of an organism.	["mammary part of chest","mammary region"]
UBERON:0000358	blastocyst	The mammalian blastocyst is a hollow ball of cells containing two cell types, the inner cell mass and the trophectoderm.	[]
UBERON:0000403	scalp	The outer covering of the calvaria. It is composed of several layers: SKIN; subcutaneous connective tissue; the occipitofrontal muscle which includes the tendonous galea aponeurotica; Loose connective tissue; and the pericranium (the PERIOSTEUM of the SKULL).	[]
UBERON:0000473	testis	A gonad of a male animal. A gonad produces and releases sperm.	["UBERON:0002117","gonad of male genitalia","gonad of male reproductive system","male gonad","testicle"]
UBERON:0000479	tissue	Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.	["portion of tissue","tissue portion"]
UBERON:0000483	epithelium	Portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina. Examples: simple squamous epithelium, glandular cuboidal epithelium, transitional epithelium, myoepithelium.	["epithelial tissue","portion of epithelium"]
UBERON:0000913	interstitial fluid	Interstitial fluid is a bodily fluid consisting of a solution which bathes and surrounds the cells of multicellular animals. It is the main component of the extracellular fluid, which also includes plasma and transcellular fluid.	["intercellular fluid","tissue fluid"]
UBERON:0000916	abdomen	The subdivision of the vertebrate body between the thorax and pelvis. The ventral part of the abdomen contains the abdominal cavity and visceral organs. The dorsal part includes the abdominal section of the vertebral column.	["abdominopelvic region","abdominopelvis"]
UBERON:0000922	embryo	Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant.	["embryonic organism"]
UBERON:0000945	stomach	An expanded region of the vertebrate alimentary tract that serves as a food storage compartment and digestive organ. A stomach is lined, in whole or in part by a glandular epithelium.	[]
UBERON:0000948	heart	A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ.	["chambered heart","vertebrate heart"]
UBERON:0000955	brain	The brain is the center of the nervous system in all vertebrate, and most invertebrate, animals. Some primitive animals such as jellyfish and starfish have a decentralized nervous system without a brain, while sponges lack any nervous system at all. In vertebrates, the brain is located in the head, protected by the skull and close to the primary sensory apparatus of vision, hearing, balance, taste, and smell.	[]
UBERON:0000956	cerebral cortex	The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon. It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.	["cortex of cerebral hemisphere"]
UBERON:0000959	optic chiasma	A decussation of the diencephalon where the fibers of the optic nerve cross.	["chiasma opticum","decussation of optic nerve fibers","optic chiasm"]
UBERON:0000965	lens of camera-type eye	A transparent and refractive lens located posterior to the iris. The lens of camera-type eye refracts light to be focused on the retina.	["camera-type eye lens","eye lens","lens","lens crystallina"]
UBERON:0000966	retina	The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates.	["inner layer of eyeball","retina of camera-type eye","tunica interna of eyeball"]
UBERON:0000970	eye	An organ that detects light.	[]
UBERON:0000992	ovary	The gonad of a female organism which contains germ cells.	["animal ovary","female gonad","female organism genitalia gonad","female organism genitalia gonada","female organism reproductive system gonad","female organism reproductive system gonada","female reproductive system gonad","female reproductive system gonada","genitalia of female organism gonad","genitalia of female organism gonada","gonad of female organism genitalia","gonad of female organism reproductive system","gonad of female reproductive system","gonad of genitalia of female organism","gonad of reproductive system of female organism","gonada of female organism genitalia","gonada of female organism reproductive system","gonada of female reproductive system","gonada of genitalia of female organism","gonada of reproductive system of female organism","ovum-producing ovary","reproductive system of female organism gonad","reproductive system of female organism gonada"]
UBERON:0000995	uterus	The female muscular organ of gestation in which the developing embryo or fetus is nourished until birth.	[]
UBERON:0001003	skin epidermis	The outer epithelial layer of the skin that is superficial to the dermis.	["epidermis","skin","vertebrate epidermis"]
UBERON:0001011	hemolymph	Blood analogue used by all arthropods and most mollusks that have an open circulatory system. In these animals there is no distinction between blood and interstitial fluid. The liquid fills all of the interior (the hemocoel) of the body and surrounds all cells.	[]
UBERON:0001013	adipose tissue	Portion of connective tissue composed of adipocytes enmeshed in areolar tissue.	["fat","fat tissue","fatty tissue"]
UBERON:0001017	central nervous system	The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the neural tube derivatives: the brain and spinal cord. In invertebrates it includes central ganglia plus nerve cord.	["CNS","systema nervosum centrale"]
UBERON:0001043	esophagus	Tube that connects the pharynx to the stomach. In mammals, the oesophagus connects the buccal cavity with the stomach. The stratified squamous non-keratinised epithelium lining the buccal cavity is continued through the pharynx down into the oesophagus. The lowest part of the oesophagus (ca. 2 cm) is lined with gastric mucosa and covered by peritoneum. The main body of the oesophagus is lined with small, simple mucous glands. Each gland opens into the lumen by a long duct which pierces the muscularis mucosae (Wilson and Washington, 1989). A sphincter is situated at the point where the oesophagus enters the stomach to prevent gastro-oesophageal reflux, i.e. to prevent acidic gastric contents from reaching stratified epithelia of the oesophagus, where they can cause inflammation and irritation (Wilson and Washington, 1989; Brown et al., 1993).	["gullet","oesophagus"]
UBERON:0001052	rectum	The terminal portion of the intestinal tube, terminating with the anus.	["terminal portion of intestine"]
UBERON:0001134	skeletal muscle tissue	Muscle tissue that consists primarily of skeletal muscle fibers.	["skeletal muscle"]
UBERON:0001153	caecum	A pouch in the digestive tract that connects the ileum with the ascending colon of the large intestine. It is separated from the ileum by the ileocecal valve, and is the beginning of the large intestine. It is also separated from the colon by the cecocolic junction.	["caecum","cecum","intestinum crassum caecum"]
UBERON:0001155	colon	A portion of the large intestine before it becomes the rectum. In mammals, the colon is the most part of the large intestine, excluding the vermiform appendix, the rectum and the anal canal.	["large bowel"]
UBERON:0001179	peritoneal cavity	Anatomical cavity bounded by visceral and parietal peritoneum.	[]
UBERON:0001225	cortex of kidney	Outer cortical portion of the kidney, between the renal capsule and the renal medulla.	["cortex renalis","kidney cortex","renal cortex"]
UBERON:0001255	urinary bladder	Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion.	["bladder","vesica urinaria"]
UBERON:0001264	pancreas	An endoderm derived structure that produces precursors of digestive enzymes and blood glucose regulating hormones.	[]
UBERON:0001268	peritoneal fluid	Transudate contained in the peritoneal cavity.	[]
UBERON:0001277	intestinal epithelium	Epithelial layer that lines the intestine.	["bowel epithelial tissue","bowel epithelium","epithelial tissue of bowel","epithelial tissue of intestine","epithelium of bowel","epithelium of intestine","intestine epithelial tissue"]
UBERON:0001293	outer medulla of kidney	The renal outer medulla is the region of the kidney that lies between the renal cortex and the renal inner medulla.	["outer renal medulla","outer zone of medulla of kidney","outer zone of renal medulla","renal outer medulla","zona externa (medullaris renalis)","zona externa medullae renalis"]
UBERON:0001322	sciatic nerve	A large nerve that supplies nearly the whole of the skin of the leg, the muscles of the back of the thigh, and those of the leg and foot. It begins in the lower back and runs through the buttock and down the lower limb.	[]
UBERON:0001332	prepuce of penis	A retractable double-layered fold of skin and mucous membrane that covers the glans penis and protects the urinary meatus when the penis is not erect.	["penile prepuce","prepuce","prepuce of male","preputium","preputium penis"]
UBERON:0001344	epithelium of vagina	The epithelial layer of the vagina.	["epithelial tissue of vagina","vagina epithelial tissue","vagina epithelium","vaginal epithelium"]
UBERON:0001347	white adipose tissue	Connective tissue consisting of fat-storing cells and arranged in lobular groups or along minor blood vessels.	["adipocytus unigutturalis","textus adiposus albus","unilocular adipose tissue","white fat"]
UBERON:0001348	brown adipose tissue	A thermogenic form of adipose tissue that is composed of brown adipocytes.	["adipocytus multigutturalis","brown fat","multilocular adipose tissue","textus adiposus fuscus"]
UBERON:0001359	cerebrospinal fluid	A clear, colorless, bodily fluid, that occupies the subarachnoid space and the ventricular system around and inside the brain and spinal cord.	["cerebral spinal fluid","CSF"]
UBERON:0001377	quadriceps femoris	One of the muscles belong to the group consisting of the rectus femoris and the three heads of the vastus (lateralis, medialis, intermedius).	["quadriceps","quadriceps femoris muscle"]
UBERON:0001379	vastus lateralis	The Vastus lateralis (Vastus externus) is the largest part of the Quadriceps femoris. It arises by a broad aponeurosis, which is attached to the upper part of the intertrochanteric line, to the anterior and inferior borders of the greater trochanter, to the lateral lip of the gluteal tuberosity, and to the upper half of the lateral lip of the linea aspera; this aponeurosis covers the upper three-fourths of the muscle, and from its deep surface many fibers take origin. A few additional fibers arise from the tendon of the Glutæus maximus, and from the lateral intermuscular septum between the Vastus lateralis and short head of the Biceps femoris. The fibers form a large fleshy mass, which is attached to a strong aponeurosis, placed on the deep surface of the lower part of the muscle: this aponeurosis becomes contracted and thickened into a flat tendon inserted into the lateral border of the patella, blending with the Quadriceps femoris tendon, and giving an expansion to the capsule of the knee-joint..	["lateralis","vastus lateralis muscle"]
UBERON:0001388	gastrocnemius	The most superficial muscle of the triceps surae group, in the posterior portion of the lower hindleg.	["gastrocnemius muscle","m. gastrocnemius","m.gastrocnemius"]
UBERON:0001443	chest	Subdivision of trunk proper, which is demarcated from the neck by the plane of the superior thoracic aperture and from the abdomen internally by the inferior surface of the diaphragm and externally by the costal margin and associated with the thoracic vertebral column and ribcage and from the back of the thorax by the external surface of the posterolateral part of the rib cage, the anterior surface of the thoracic vertebral column and the posterior axillary lines; together with the abdomen and the perineum, it constitutes the trunk proper.	["anterolateral part of thorax","front of thorax","pectus","ventral part of thoracic region"]
UBERON:0001456	face	A subdivision of the head that has as parts the layers deep to the surface of the anterior surface, including the mouth, eyes, and nose (when present). In vertebrates, this includes the facial skeleton and structures superficial to the facial skeleton (cheeks, mouth, eyeballs, skin of face, etc).	[]
UBERON:0001474	bone element	Skeletal element that is composed of bone tissue.	["bone organ"]
UBERON:0001555	digestive tract	A tube extending from the mouth to the anus.	["digestive tube","enteric tract","gut"]
UBERON:0001567	cheek	A fleshy subdivision of one side of the face bounded by an eye, ear and the nose.	[]
UBERON:0001630	muscle organ	Organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work.	["muscle"]
UBERON:0001637	artery	An epithelial tube or tree of tibes that transports blood away from the heart.	["arterial subtree","arterial tree organ part","arteries"]
UBERON:0001723	tongue	A muscular organ in the floor of the mouth.	[]
UBERON:0001797	vitreous humor	A transparent, semigelatinous substance that fills the cavity behind the crystalline lens of the eye and in front of the retina.	["humor vitreous","humor vitreus","portion of vitreous humor","vitreous","whole portion of vitreous humor"]
UBERON:0001825	paranasal sinus	The paired air-filled cavities surrounded by the bones of the face that are lined by mucous membranes and are continuous with the nasal cavity.	["sinus"]
UBERON:0001851	cortex	Outermost layer of an organ.	["cortex","cortex of organ"]
UBERON:0001869	cerebral hemisphere	One of two bilateral, largely symmetrical organ subdivisions within the telencephalon which contain the cerebral cortex and cerebral white matter..	[]
UBERON:0001876	amygdala	Subcortical brain region lying anterior to the hippocampal formation in the temporal lobe and anterior to the temporal horn of the lateral ventricle in some species. It is usually subdivided into several groups. Functionally, it is not considered a unitary structure (MM).	["amygdaloid body","amygdaloid complex","amygdaloid nuclear complex","amygdaloid nuclear groups","archistriatum"]
UBERON:0001882	nucleus accumbens	A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen. (caudoputamen in rodent) and continuous with these structures. There is no distinct boundary between the nucleus accumbens and the caudate/putamen, but in rodents, it can be identified by its lack of traversing fiber bundles in comparison to the dorsal striatum. Its principle neuron is the medium spiny neuron. Together with the neostriatum (caudate nucleus and putamen), the nucleus accumbens forms the striatum.	["accumbens nucleus","colliculus of caudate nucleus","nucleus accumbens septi"]
UBERON:0001886	choroid plexus	A network formed by blood vessels and the tela choroidea which secretes CSF into the ventricular spaces.	["chorioid plexus","CP","plexus choroideus"]
UBERON:0001898	hypothalamus	A specialized brain region of the ventral diencephalon arising near the end of the segmentation period; the embryonic hypothalamic region will give rise to the posterior pituitary gland as well as a number of brain nuclei.. One of the most important functions of the hypothalamus is to link the nervous system to the endocrine system via the pituitary gland (hypophysis)..	["Hy","preoptico-hypothalamic area","preoptico-hypothalamic region"]
UBERON:0001977	blood serum	The portion of blood plasma that excludes clotting factors.	["serum"]
UBERON:0001986	endothelium	A layer of epithelium that lines the heart, blood vessels (endothelium, vascular), lymph vessels (endothelium, lymphatic), and the serous cavities of the body. Simple squamous epithelium which lines blood and lymphatic vessels and the heart.	[]
UBERON:0001987	placenta	Organ of metabolic interchange between fetus and mother, partly of embryonic origin and partly of maternal origin. The fetal portion of the placenta is known as the villous chorion. The maternal portion is known as the decidua basalis. The two portions are held together by anchoring villi that are anchored to the decidua basalis by the cytotrophoblastic shell.	["allantoic placenta","eutherian placenta"]
UBERON:0001988	feces	Portion of semisolid bodily waste discharged through the anus.	["excreta","faeces","fecal material","fecal matter","piece of shit","portion of excrement","portion of faeces","portion of fecal material","portion of fecal matter","portion of feces","portionem cacas","stool"]
UBERON:0002028	hindbrain	The most posterior of the three principal regions of the brain. In mammals and birds the hindbrain is divided into a rostral metencephalon and a caudal myelencephalon. In zebrafish, with the exception of the cerebellum, the ventral remainder of the metencephalon can be separated only arbitrarily from the more caudal myelencephalic portion of the medulla oblongata (From: Neuroanatomy of the Zebrafish Brain). Organ component of neuraxis that has as its parts the pons, cerebellum and medulla oblongata.	[]
UBERON:0002046	thyroid gland	A two-lobed endocrine gland found in all vertebrates, located in front of and on either side of the trachea in humans, and producing various hormones, such as triiodothyronine and calcitonin.	["thyroid"]
UBERON:0002048	lung	Respiration organ that develops as an outpocketing of the esophagus.	["pulmo"]
UBERON:0002082	cardiac ventricle	Cardiac chamber through which blood leaves the heart.	["heart ventricle","lower chamber of heart","ventricle","ventricle of heart"]
UBERON:0002097	skin of body	The organ covering the body that consists of the dermis and epidermis.	["entire skin","skin organ"]
UBERON:0002106	spleen	The organ that functions to filter blood and to store red corpuscles and platelets.	[]
UBERON:0002107	liver	An exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.	[]
UBERON:0002108	small intestine	Subdivision of digestive tract that connects the stomach to the large intestine and is where much of the digestion and absorption of food takes place (with the exception of ruminants). The mammalian small intestine is long and coiled and can be differentiated histologically into: duodenum, jejunem, ileum.	["small bowel","small intestine"]
UBERON:0002110	gallbladder	An organ that aids digestion and stores bile produced by the liver.	["cholecyst","gall bladder"]
UBERON:0002113	kidney	A paired organ of the urinary tract that produces urine and maintains bodily fluid homeostasis, blood pressure, pH levels, red blood cell production and skeleton mineralization.	[]
UBERON:0002114	duodenum	The first part of the small intestine. At the junction of the stomach and the duodenum the alimentary canal is inflected. The duodenum first goes anteriorly for a short distance, turns dorsally, and eventually caudally, thus it is a U-shaped structure with two horizontal sections (a ventral and a dorsal one).	[]
UBERON:0002115	jejunum	The portion of the small intestine that extends from the duodenum to the ileum.	[]
UBERON:0002116	ileum	The portion of the small intestine that extends from the jejunum to the colon.	[]
UBERON:0002137	aortic valve	Cardiac valve which has as its parts the anterior, right posterior and left posterior cusps, attached to the fibrous ring of aortic valve..	[]
UBERON:0002240	spinal cord	Part of the central nervous system located in the vertebral canal continuous with and caudal to the brain; demarcated from brain by plane of foramen magnum. It is composed of an inner core of gray matter in which nerve cells predominate, and an outer layer of white matter in which myelinated nerve fibers predominate, and surrounds the central canal. (CUMBO).	[]
UBERON:0002298	brainstem	Stalk-like part of the brain that includes amongst its parts the medulla oblongata of the hindbrain and the tegmentum of the midbrain.	["brain stem","truncus encephali"]
UBERON:0002305	layer of hippocampus	The layers of the laminar structure of the hippocampus.	["cytoarchitectural fields of hippocampal formation","hippocampus layer"]
UBERON:0002314	midbrain tectum	Dorsal part of the midbrain, consisting of the superior and inferior colliculi and the pretectal nuclei (MM).	["mesencephalic tectum","neuraxis tectum","tectum","tectum mesencephali"]
UBERON:0002328	notochord	A flexible rod-shaped body found in embryos of all chordates. It is composed of cells derived from the mesoderm and defines the primitive axis of the embryo. In some chordates, it persists throughout life as the main axial support of the body, while in most vertebrates it becomes the nucleus pulposus of the intervertebral disc. The notochord is found ventral to the neural tube.	["embryonic notocord","notocord"]
UBERON:0002367	prostate gland	The prostate gland is a partly muscular, partly glandular body that is situated near the base of the mammalian male urethra and secretes an alkaline viscid fluid which is a major constituent of the ejaculatory fluid.	["male prostate","prostate"]
UBERON:0002369	adrenal gland	Either of a pair of complex endocrine organs near the anterior medial border of the kidney consisting of a mesodermal cortex that produces glucocorticoid, mineralocorticoid, and androgenic hormones and an ectodermal medulla that produces epinephrine and norepinephrine.	["glandula adrenalis","glandula suprarenalis"]
UBERON:0002370	thymus	Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop.	["thymus gland","thymus organ"]
UBERON:0002371	bone marrow	The soft tissue that fills the cavities of bones.	["medulla ossea","medulla ossium"]
UBERON:0002385	muscle tissue	Muscle tissue is a contractile tissue made up of actin and myosin fibers.	["muscular tissue","portion of muscle tissue","textus muscularis"]
UBERON:0002405	immune system	Anatomical system that protects the body from foreign substances, cells, and tissues by producing the immune response and that includes especially the thymus, spleen, lymphoid tissue, lymphocytes including the B cells and T cells, and antibodies.	[]
UBERON:0002415	tail	An external caudal extension of the body. In chordates, the tail is post-anal, in other animals the anus ends in the tail.	["caudal subdivision"]
UBERON:0002509	mesenteric lymph node	The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group.	["mesenteric node"]
UBERON:0002512	corpus luteum	A transient endocrine gland that develops from the postovulatory or atretic follicles and secretes progesterone; it is thought to be related to egg retention.	["corpora lutea","corpus luteum of ovary","ovarian corpus luteum"]
UBERON:0002535	gill	Anatomical surface structure found in many aquatic organisms. It is a respiration organ whose function is the extraction of oxygen from water and the excretion of carbon dioxide. The microscopic structure of a gill is such that it presents a very large surface area to the external environment. Gills usually consist of thin filaments of tissue, branches, or slender tufted processes which have a highly folded surface to increase surface area. A high surface area is crucial to the gas exchange of aquatic organisms as water contains only 1/20 parts dissolved Oxygen compared to air. With the exception of some aquatic insects, the filaments and lamellae (folds) contain blood or coelomic fluid, from which gases are exchanged through the thin walls. Oxygen is carried by the blood to other parts of the body. Carbon dioxide passes from the blood through the thin gill tissue into the water. Gills or gill-like organs, located in different parts of the body, are found in various groups of aquatic animals, including mollusks, crustaceans, insects, fish, and amphibians.	[]
UBERON:0003053	ventricular zone	Proliferative region that is part of the ventricular system.	["brain ventricular zone","ventricular zone of brain","VZ"]
UBERON:0003428	gonadal fat pad	The encapsulated adipose tissue associated with the ovaries or testes.	["fat pad of gonad","fat pad of gonads","gonad fat pad","gonad-associated fat pad","gonadal fat depot","gonadal fat pad"]
UBERON:0003891	stroma	Connective, non-functional supportive framework of a biological cell, tissue, or organ. Contrast with parenchyma.	[]
UBERON:0003916	fat pad	A mass of closely packed fat cells (adipose tissue) surrounded by fibrous tissue septa.	[]
UBERON:0004087	vena cava	Any of the veins that carries deoxygenated blood from a part of the body into the right atrium of the heart.	[]
UBERON:0004134	proximal tubule	In mammals, the proximal tubule is a nephron tubule that connects Bowman's capsule to the loop of Henle. It has a brush border epithelial morphology.	["kidney proximal tubule","proximal kidney tubule","renal proximal tubule"]
UBERON:0004237	blood vessel smooth muscle	Smooth muscle found within, and composing the majority of the wall of blood vessels.	["UBERON:0010508","blood vessel involuntary muscle","blood vessel non-striated muscle","blood vessel smooth muscle tissue","involuntary muscle of blood vessel","non-striated muscle of blood vessel","smooth muscle of blood vessel","smooth muscle tissue of blood vessel","vascular smooth muscle","vascular smooth muscle tissue"]
UBERON:0004288	skeleton	Anatomical cluster that consists of all the skeletal elements (eg., bone, cartilage, and teeth) of the body.	["set of all bones","set of bones of body"]
UBERON:0004819	kidney epithelium	The cellular avascular layer of the kidney luminar surfaces.	["epithelial tissue of kidney","epithelium of kidney","kidney epithelial tissue"]
UBERON:0004903	bronchoalveolar duct junction	A branch point connecting the respiratory bronchioles to the alveolar ducts.	[]
UBERON:0005291	embryonic tissue	A portion of tissue that is part of an embryo.	["portion of embryonic tissue"]
UBERON:0005396	carotid artery segment	One of: the common carotid artery, or its branches, the external and internal carotid arteries.	["carotid","carotid artery","subdivision of common carotid artery"]
UBERON:0005969	eye trabecular meshwork	A pore-like structure surrounding the entire circumference of the anterior chamber of the eye through which aqueous humor circulates.	["UBERON:0004028","eye trabecular meshwork","reticulum trabeculare","trabecular meshwork of the eye"]
UBERON:0006661	epicranial aponeurosis	The galea aponeurotica (epicranial aponeurosis, aponeurosis epicranialis) is a tough layer of dense fibrous tissue which covers the upper part of the cranium; behind, it is attached, in the interval between its union with the Occipitales, to the external occipital protuberance and highest nuchal lines of the occipital bone; in front, it forms a short and narrow prolongation between its union with the Frontales. On either side it gives origin to the Auriculares anterior and superior; in this situation it loses its aponeurotic character, and is continued over the temporal fascia to the zygomatic arch as a layer of laminated areolar tissue. It is closely connected to the integument by the firm, dense, fibro-fatty layer which forms the superficial fascia of the scalp: it is attached to the pericranium by loose cellular tissue, which allows the aponeurosis, carrying with it the integument to move through a considerable distance.	["aponeurosis epicranialis","aponeurosis of epicranius","epicranial aponeurosis","epicranius aponeurosis","galea aponeurotica"]
UBERON:0007379	shelled egg	The hard-shelled reproductive body produced by a bird (especially by the common domestic chicken) or a reptile; also: its contents used as food.	[]
UBERON:0007808	adipose tissue of abdominal region	Adipose tissue that is located in the abdominal region. This includes any subcutaneous fat, visceral fat or encapsulated adipose tissue depots.	[]
UBERON:0008987	renal parenchyma	The functional tissue of the kidney, consisting of the nephrons.	["parenchyma of kidney"]
UBERON:0009754	blubber	A thick layer of vascularized adipose tissue found under the skin of all cetaceans, pinnipeds and sirenians.	[]
UBERON:0009906	root of optic nerve	A nerve root that extends_fibers_into a nerve connecting eye with brain.	["optic nerve root","optic tract root","root of optic tract"]
UBERON:0010264	hepatopancreas	An organ of the digestive tract of arthropods and molluscs. It provides the functions which in mammals are provided separately by the liver and pancreas, including the production of digestive enzymes, and absorption of digested food.	[]
UBERON:0010392	B cell domain		[]
UBERON:0010393	T cell domain		[]
UBERON:0010394	lymphocyte domain		[]
UBERON:0010410	inguinal fat pad	Encapsulated adipose tissue found in the groin.	["fat depot of inguinal region","inguinal fat depot"]
UBERON:0010412	epididymal fat pad	Encapsulated adipose tissue associated with the epididymis.	["periepididymal fat pad"]
UBERON:0012652	colorectum	The subdivision of the digestive tract that consists of the colon and the rectum.	[]
UBERON:0014454	visceral abdominal adipose tissue	Subcutaneous adipose tissue that is located in the peritoneal cavity.	[]
UBERON:0016482	dental plaque	A soft, thin film of food debris, mucin, and dead epithelial cells deposited on the teeth, providing the medium for the growth of various bacteria. The main inorganic components are calcium and phosphorus, with small amounts of magnesium, potassium, and sodium; the organic matrix consists of polysaccharides, proteins, carbohydrates, lipids, and other components. Plaque plays an important etiologic role in the development of dental caries and periodontal and gingival diseases and provides the base for the development of materia alba; calcified plaque forms dental calculus.	[]
UBERON:0016522	cavity of right atrium	Luminal space of the right atrium of the heart.	["right atrial cavity"]
UBERON:0018543	lumen of intestine	The anatomical space within the intestine.	["intestinal lumen","intestine lumen"]
